cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
07,032,74,47.0044,Alto,0.823360967793416,4090.0,287666.92799999996,357894.54000000004
07,001,112,89.0237,Medio,0.834459612668694,4092.0,544825.044,14932.8
07,003,13,10.7075,Alto,0.816595627575556,4100.0,65529.899999999994,8262.0
30,176,3,12.87,Medio,0.828398020475798,4690.0,78764.4,57840.12
30,207,28,769.0877,Medio,0.844341995198852,4690.0,4706816.724,37760.4
30,108,15,10.34,Muy bajo,0.88587001419758,4793.120000000001,0.0,47054.232
30,061,24,4.8682,Alto,0.821586747676726,4793.120000000001,29793.384,9694.08
30,082,3,5.9588,Bajo,0.862478652328499,4793.120000000001,36467.856,1530.0
30,122,4,0.36,Alto,0.805277212212174,4793.120000000001,2203.2,332393.724
30,209,4,0.175,Alto,0.806853375933871,4793.120000000001,1071.0,4590.0
30,070,4,1.584,Alto,0.778263611057191,4793.120000000001,9694.08,6732.000000000001
30,210,3,1.1,Alto,0.803953662450735,4793.120000000001,6732.000000000001,20196.0
30,204,7,2.7,Bajo,0.884011490761497,4793.120000000001,0.0,2203.2
30,011,6,4.9714,Muy bajo,0.90131669103013,4815.76,0.0,1071.0
07,114,3,3.3,Alto,0.805155250608916,4960.6285714285705,20196.0,29437.199999999997
07,124,5,0.75,Alto,0.803257676023342,4960.6285714285705,4590.0,65529.899999999994
07,033,3,0.25,Alto,0.782524185441443,4960.6285714285705,1530.0,9730.800000000001
07,076,17,7.6886,Alto,0.766271813000236,4960.6285714285705,47054.232,189805.68
07,071,7,1.59,Alto,0.816928763183282,4960.6285714285705,9730.800000000001,979.2
07,084,3,0.16,Alto,0.819862162098269,4960.6285714285705,979.2,29793.384
07,065,15,30.34,Medio,0.824804146183168,4960.6285714285705,185680.8,287666.92799999996
07,096,4,1.35,Muy alto,0.756944523621499,4960.6285714285705,8262.0,185680.8
07,077,4,2.44,Muy alto,0.753064482763297,4960.6285714285705,14932.8,1969592.256
07,051,6,4.137,Medio,0.831217850255717,4960.6285714285705,25318.44,78764.4
30,181,22,1825.4224,Medio,0.846204937803351,4976.72,11171585.088,25318.44
17,014,11,341.061,Bajo,0.875980145015536,5100.0,2087293.3199999998,544825.044
12,033,19,169.2312,Medio,0.840092511714567,5178.76,1035694.944,12852.0
