cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
16,104,70.0,14.79,Bajo,0.855843600828171,6791.0,0.0,9599620.600000001
20,437,598.0,16.8098,Alto,0.788662419081806,7069.87,0.0,2123243.7
20,314,25.0,10.6805,Medio,0.847036652853332,8853.13,0.0,856745.55
12,079,1265.0,160.9514,Muy alto,0.628232483740553,8973.565,2333795.3000000003,87458.2
18,009,391.0,59.0859,Muy alto,0.448934520149441,9010.0,856745.55,1037173.4
20,378,40.0,13.152,Alto,0.812721604286757,9114.3,0.0,2085691.6
17,027,194.0,107.9641,Medio,0.828704856735699,9140.0,0.0,3501022.1
21,107,99.0,9.9903,Muy alto,0.68405708679149,9241.03,0.0,8987450.9
12,045,1221.0,499.5088,Muy alto,0.686800338027552,9249.96,0.0,3567319.0
21,124,110.0,1.0334,Medio,0.850825401601613,9283.39,0.0,1325890.1500000001
07,022,403.0,91.4407,Muy alto,0.592004156820721,9288.46,1325890.1500000001,511662.95
14,049,4.0,9.36,Medio,0.841862850932965,9291.91,0.0,290348.0
08,065,1272.0,619.8242,Muy alto,0.576004412875563,9300.0,8987450.9,24538860.4
07,066,354.0,133.7964,Muy alto,0.712365831112003,9311.64,0.0,4995803.9
20,352,211.0,1.337,Muy alto,0.720951163430646,9322.98,0.0,2333795.3000000003
07,002,88.0,131.7514,Medio,0.834618691898622,9352.66,0.0,570076.2000000001
08,008,1244.0,662.0428,Muy alto,0.335198107151815,9360.0,9599620.600000001,9057716.450000001
10,009,70.0,28.3632,Medio,0.82985011883178,9383.53,0.0,662632.6
31,098,281.0,79.8184,Medio,0.836240817492534,9418.15,0.0,8259642.25
12,005,20.0,2.2245,Medio,0.827161267161256,9432.66,0.0,38947.0
31,032,420.0,38.244,Alto,0.818190703089145,9453.91,0.0,39503.8
07,070,248.0,40.602,Medio,0.829674434888293,9470.97,0.0,4822104.05
20,269,98.0,11.158,Medio,0.832142876439887,9472.23,0.0,423908.95
13,046,460.0,68.0086,Medio,0.826844530363726,9501.04,0.0,6815.0
31,036,117.0,6.6181,Medio,0.830382101552102,9520.23,0.0,661685.75
30,095,127.0,14.598,Alto,0.821612116081127,9532.54,0.0,5746612.45
20,481,75.0,7.425,Alto,0.819155497754684,9558.25,0.0,8343195.6
13,031,420.0,63.4403,Medio,0.845026739923642,9570.875,0.0,1827263.9
12,025,50.0,63.8418,Muy alto,0.741005394969535,9687.57,0.0,730934.85
13,081,54.0,5.4233,Bajo,0.885343763569254,9688.91,0.0,210680.65
12,078,344.0,71.5292,Muy alto,0.504292378391542,9727.5,1037173.4,2172276.9
20,171,430.0,35.2871,Muy alto,0.594338724241179,9735.0,511662.95,0.0
16,008,16.0,6.089,Muy alto,0.717210036965428,9755.92,0.0,0.0
21,135,19.0,4.4463,Medio,0.844141959143705,9768.98,0.0,0.0
12,032,1017.0,447.2686,Muy alto,0.715126686666131,9775.21,0.0,0.0
20,462,111.0,184.2735,Bajo,0.857444049527234,9800.0,0.0,0.0
32,011,6.0,2.4111,Bajo,0.885210440155385,9800.0,0.0,0.0
29,011,6.0,0.5333,Muy bajo,0.88539849801342,9800.0,0.0,0.0
08,044,88.0,387.1387,Bajo,0.885199462096183,9800.0,0.0,0.0
32,008,201.0,204.8313,Bajo,0.885075356478097,9800.0,0.0,0.0
20,540,75.0,12.7315,Bajo,0.885327509255959,9800.0,0.0,0.0
14,016,13.0,10.039,Bajo,0.885074326018974,9800.0,0.0,0.0
13,030,410.0,20.6616,Bajo,0.885295939802208,9800.0,0.0,0.0
24,033,1925.0,3784.9219,Medio,0.829758622599962,9822.94,0.0,0.0
13,037,331.0,24.0276,Medio,0.828507868706323,9834.07,0.0,0.0
20,427,168.0,90.3031,Medio,0.830659529120699,9841.04,0.0,0.0
24,057,184.0,17.023,Alto,0.81841941919114,9869.46,0.0,0.0
20,360,60.0,3.8901,Alto,0.814490797506254,9962.66,0.0,0.0
07,082,626.0,143.8408,Muy alto,0.562171125130602,9995.0,2085691.6,0.0
21,028,15.0,1.44,Alto,0.792019977567497,10027.78,0.0,0.0
08,012,552.0,241.4498,Muy alto,0.567027248940815,10065.0,3501022.1,0.0
20,286,56.0,74.7261,Alto,0.813628916083094,10077.78,0.0,0.0
30,031,47.0,9.147,Alto,0.793972913117189,10100.95,0.0,0.0
08,007,893.0,246.022,Muy alto,0.579480198849004,10140.0,3567319.0,0.0
20,490,262.0,19.157,Alto,0.786433367794574,10204.55,0.0,0.0
14,061,13.0,6.0316,Muy alto,0.490203198817972,10207.5,87458.2,0.0
29,017,18.0,3.5658,Bajo,0.879683156040777,10232.0,0.0,0.0
12,024,344.0,65.6619,Alto,0.784905574737933,10362.95,0.0,0.0
26,052,35.0,16.5702,Bajo,0.885065472304205,10400.0,0.0,0.0
20,272,51.0,10.6734,Alto,0.810155678854973,10400.0,0.0,0.0
20,424,101.0,14.95,Alto,0.784858553318216,10466.88,0.0,0.0
13,036,127.0,2.2281,Bajo,0.864750303945764,10500.0,0.0,0.0
20,088,235.0,16.8713,Alto,0.789786874622815,10500.0,0.0,0.0
20,233,115.0,3.7584,Alto,0.792676528658852,10531.27,0.0,0.0
30,004,291.0,64.2112,Bajo,0.861011044960118,10593.583333333334,0.0,0.0
21,067,489.0,77.2531,Bajo,0.861165254134375,10593.813333333334,0.0,0.0
10,014,671.0,146.4306,Muy alto,0.441932826612379,10732.689999999999,2123243.7,0.0
20,040,663.0,43.5314,Muy alto,0.681600126888746,10748.34,0.0,0.0
12,029,682.0,149.2795,Bajo,0.884072899671021,10917.44,0.0,0.0
07,020,1152.0,1118.7827,Alto,0.788336920558257,10968.64,0.0,0.0
21,092,323.0,4.2644,Alto,0.814741413981493,11000.0,0.0,0.0
31,043,194.0,9.544,Alto,0.813321159109253,11000.0,0.0,0.0
12,043,1115.0,126.0182,Muy alto,0.663157784687714,11000.0,1827263.9,0.0
20,169,3.0,0.47,Muy alto,0.659674763034332,11000.0,6815.0,0.0
19,017,255.0,93.3861,Medio,0.853484432439835,11001.43,0.0,0.0
10,037,300.0,170.7178,Alto,0.81146549392898,11050.36,0.0,0.0
31,014,76.0,20.7982,Alto,0.823691637669969,11079.38,0.0,0.0
30,143,116.0,48.3748,Medio,0.825498410521794,11089.03,0.0,0.0
21,203,113.0,35.5749,Medio,0.841710918697652,11090.21,0.0,0.0
26,003,279.0,146.4355,Medio,0.836740154095614,11095.0,0.0,0.0
20,140,82.0,14.3403,Medio,0.850024221916219,11097.0,0.0,0.0
21,056,9.0,5.806,Medio,0.831765067856636,11099.47,0.0,0.0
30,106,132.0,19.4227,Medio,0.842935411241042,11100.81,0.0,0.0
07,053,28.0,3.7796,Alto,0.822800995347181,11107.02,0.0,0.0
31,076,223.0,10.83,Medio,0.829741723940223,11107.64,0.0,0.0
30,160,213.0,55.2635,Medio,0.837350598436248,11110.0,0.0,0.0
17,023,13.0,3.9405,Medio,0.825885700339526,11115.26,0.0,0.0
07,123,78.0,41.6932,Medio,0.83307056764427,11124.67,0.0,0.0
17,001,14.0,3.1401,Bajo,0.870522524119135,11135.0,0.0,0.0
24,021,626.0,113.137,Medio,0.845953547009437,11135.25,0.0,0.0
20,052,69.0,13.5126,Medio,0.833369589276423,11151.42,0.0,0.0
28,034,211.0,216.4996,Medio,0.828848814997383,11172.94,0.0,0.0
20,185,78.0,29.6001,Medio,0.830657058539564,11177.07,0.0,0.0
20,102,79.0,12.0638,Medio,0.840171431417477,11191.33,0.0,0.0
21,069,212.0,100.8904,Medio,0.834040650470711,11193.85,0.0,0.0
21,051,53.0,19.8403,Bajo,0.862117714119169,11200.0,0.0,0.0
20,413,34.0,13.1638,Bajo,0.870785423851769,11200.0,0.0,0.0
24,045,577.0,110.0911,Medio,0.840135526195845,11203.06,0.0,0.0
30,086,512.0,184.4824,Medio,0.83306757015451,11203.45,0.0,0.0
27,016,92.0,20.5048,Bajo,0.869831089490264,11210.0,0.0,0.0
30,175,427.0,144.6487,Medio,0.832559153591164,11210.8,0.0,0.0
27,008,1042.0,212.7951,Medio,0.848732915110112,11227.52,0.0,0.0
20,059,1609.0,310.0268,Medio,0.843197138793121,11231.36,0.0,0.0
21,204,37.0,0.8689,Bajo,0.861613912140765,11234.83,0.0,0.0
07,105,58.0,31.917,Medio,0.84247601841311,11240.42,0.0,0.0
20,559,113.0,39.845,Medio,0.839468377789303,11253.1,0.0,0.0
30,047,2003.0,333.0486,Alto,0.823814650434722,11253.25,0.0,0.0
20,298,75.0,9.6919,Medio,0.836661153106336,11259.5,0.0,0.0
07,033,220.0,50.4016,Alto,0.782524185441443,11260.41,0.0,0.0
20,570,287.0,66.6254,Medio,0.847601382326397,11264.26,0.0,0.0
20,408,16.0,3.772,Medio,0.835624692954032,11270.96,0.0,0.0
15,005,11.0,0.2678,Bajo,0.86154930067557,11271.4,0.0,0.0
15,077,36.0,5.8975,Medio,0.843295610230908,11282.32,0.0,0.0
17,033,41.0,12.26,Bajo,0.870006873820877,11285.0,0.0,0.0
20,167,35.0,4.127,Alto,0.780022402950721,11286.83,0.0,0.0
30,150,118.0,24.9291,Medio,0.832554460715993,11292.26,0.0,0.0
11,014,1030.0,628.5055,Bajo,0.861420082358384,11299.475,0.0,0.0
04,005,98.0,43.9005,Bajo,0.871965333325626,11300.0,0.0,0.0
20,544,21.0,1.443,Alto,0.823928165649007,11301.32,0.0,0.0
24,030,37.0,5.5601,Medio,0.840732602515467,11308.31,0.0,0.0
