cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
13,058,510,241.9488,Bajo,0.858214021662592,0.0,0.0,7520489.28
18,001,820,3683.9464,Bajo,0.87947741098927,0.0,0.0,14093117.567999998
15,023,491,692.5918,Muy bajo,0.915326172255072,0.0,0.0,44877796.416
05,014,1,0.0,Bajo,0.867537199925627,0.0,0.0,15801820.416
18,005,1264,3130.2964,Muy alto,0.661107011824373,0.0,18030507.264000002,6893819.711999999
13,030,783,1122.7825,Bajo,0.885295939802208,0.0,0.0,1139074.56
13,015,2673,864.4039,Bajo,0.857209083090092,0.0,0.0,3346167.7440000004
19,008,3,2.5,Muy bajo,0.886287785485908,0.0,0.0,11091117.311999999
25,015,31,319.315,Muy bajo,0.925984174573215,1850.0,0.0,7470486.143999999
25,008,106,1764.4826,Bajo,0.873984981431551,2926.45,0.0,6929176.896
25,013,849,3538.8588,Bajo,0.865788872966266,2945.0,0.0,3820168.512
25,005,916,2804.6274,Bajo,0.857053680653496,3200.0,0.0,976412.1599999999
25,016,875,5520.7113,Bajo,0.85532252220043,3277.94,0.0,31132874.88
05,008,1,2.0,Bajo,0.883826560859725,3300.0,0.0,6643357.631999999
05,006,66,30.7757,Muy bajo,0.928721827110563,3400.0,0.0,17942451.264
30,032,1103,4002.0886,Medio,0.847621484209598,3483.35,0.0,26240041.152000003
30,141,4976,18566.4012,Medio,0.840899813601043,3577.29,0.0,24994311.552
30,169,1986,41017.1888,Alto,0.822261065991006,3583.4,0.0,5896562.688
20,550,251,162.5539,Medio,0.840665036714527,3591.79,0.0,3918397.8239999996
20,333,86,59.3756,Bajo,0.860891330106845,3604.34,0.0,6001821.504
30,143,2733,10454.7907,Medio,0.825498410521794,3608.64,0.0,1171238.4
06,001,11,154.7301,Bajo,0.883238264283229,3645.61,0.0,4382380.8
20,356,97,47.622,Medio,0.830210331447881,3649.97,0.0,6512551.488
20,411,156,36.2293,Bajo,0.865603783924713,3653.47,0.0,739756.8
30,094,1524,9676.5409,Medio,0.848575730741398,3688.27,0.0,18030507.264000002
06,006,65,456.3556,Bajo,0.861677179284729,3690.05,0.0,37784853.504
20,078,40,10.9124,Bajo,0.882113107219325,3692.47,0.0,62112131.712
20,298,415,112.2593,Medio,0.836661153106336,3704.87,0.0,18477077.184
20,233,366,306.7178,Alto,0.792676528658852,3759.9,0.0,12717076.032
20,107,70,16.5749,Muy bajo,0.894068978163374,3764.18,0.0,2975683.3920000005
20,131,930,629.1144,Alto,0.791387328166971,3769.21,0.0,17684796.672
20,118,337,210.9198,Alto,0.800513613910264,3776.82,0.0,34294548.672
20,104,268,93.4919,Alto,0.813176001531844,3779.08,0.0,30057704.639999997
20,219,441,110.6655,Alto,0.802976343125308,3780.09,0.0,171536367.744
20,063,57,37.0831,Muy bajo,0.890596497304858,3791.89,0.0,84604503.744
20,375,7,6.07,Muy bajo,0.916573456523042,3795.77,0.0,13398228.287999999
20,033,99,74.6415,Muy bajo,0.893152567920094,3797.25,0.0,167543303.616
20,450,830,786.3097,Muy alto,0.690836551039681,3797.78,4529143.872,1779387.8399999999
20,551,764,354.959,Bajo,0.87651722094683,3797.97,0.0,5604945.984
20,560,763,173.549,Alto,0.814663874642898,3799.85,0.0,17612875.008
20,197,347,201.9238,Medio,0.827762803616515,3800.06,0.0,84012436.8
06,009,20,332.3981,Muy bajo,0.895600702462298,3802.48,0.0,894056.8319999999
20,546,302,110.8291,Alto,0.81525919769584,3807.84,0.0,3528467.712
20,226,444,183.1774,Medio,0.840222113629125,3815.17,0.0,663536.448
20,194,206,26.35,Medio,0.850238723704132,3817.95,0.0,1679749.632
20,475,1619,1459.354,Alto,0.804016208012855,3839.25,0.0,4529143.872
20,087,38,15.9503,Alto,0.809322679991222,3840.89,0.0,25372069.055999998
20,284,223,69.9724,Muy alto,0.725737949214026,3844.63,403041.024,52460153.856
20,132,177,183.1761,Medio,0.834720940871001,3845.42,0.0,656987.328
20,325,1679,763.7701,Muy alto,0.76197606476022,3846.46,4399315.776,4784780.736
20,045,359,172.873,Muy bajo,0.899590365241985,3849.48,0.0,38950140.096
20,566,566,1112.5859,Alto,0.777247489131701,3865.91,0.0,1127201.472
20,494,533,232.15,Muy alto,0.760894990513664,3866.94,1337184.0,814706.496
20,553,253,87.1131,Muy bajo,0.893613023036029,3868.95,0.0,124473.59999999999
20,137,489,527.9003,Alto,0.773429065949975,3871.62,0.0,367635.456
20,179,82,64.24,Medio,0.828362521317292,3871.72,0.0,32692497.408000004
06,007,310,2311.6718,Muy bajo,0.935676081923348,3875.31,0.0,8642442.816
20,175,75,48.72,Alto,0.81711164426052,3875.36,0.0,66689.28
20,092,173,203.583,Medio,0.843968104019841,3876.21,0.0,33560346.239999995
20,426,839,365.981,Muy alto,0.761015789022322,3876.62,2108050.56,86209209.21599999
20,386,2525,3504.7313,Muy alto,0.74151250597794,3879.12,20187252.288,11477275.776
20,158,316,189.65,Alto,0.80820746758523,3881.31,0.0,25946330.112000003
30,077,1547,31673.9627,Bajo,0.861890582879115,3882.38,0.0,25629721.344
20,535,439,330.2557,Alto,0.801313993285792,3885.21,0.0,7301987.712
20,539,79,61.9059,Bajo,0.862272024197314,3885.56,0.0,3695836.032
20,108,508,254.9402,Alto,0.809792163304717,3888.41,0.0,9007051.968
20,380,259,126.2523,Medio,0.846552340800363,3888.67,0.0,11606705.280000001
20,449,237,186.3793,Alto,0.816589643978941,3889.4,0.0,125052038.784
20,350,48,15.4329,Muy bajo,0.951700573712699,3895.03,0.0,666506.88
20,091,60,23.752,Muy bajo,0.933361170226905,3898.8,0.0,2196393.984
20,103,102,52.5143,Alto,0.780887156242979,3904.49,0.0,35873407.296000004
20,555,581,505.9219,Medio,0.833464408463296,3905.92,0.0,30110696.064000003
20,385,396,304.4866,Muy bajo,0.887782429965892,3906.22,0.0,10594395.071999999
20,155,109,146.1925,Muy alto,0.743028032014718,3909.11,842068.7999999999,408076.41599999997
05,017,4,14.2,Muy bajo,0.911024099339196,3911.1800000000003,0.0,898278.912
05,023,10,5.8629,Bajo,0.863226128082429,3911.1800000000003,0.0,149621404.608
05,013,1,0.0,Bajo,0.878003361925379,3911.1800000000003,0.0,3196596.672
05,033,4,3.4,Muy bajo,0.893470895319548,3911.1800000000003,0.0,5422728.384000001
05,019,2,1.2,Muy bajo,0.931175949768852,3911.1800000000003,0.0,16279608.959999999
05,015,4,3.0,Muy bajo,0.887482982016175,3911.1800000000003,0.0,3199016.4480000003
