cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
28,026,21,59.4247,Alto,0.792693766700528,0.0,344069.01300000004,25476.000000000004
28,023,13,434.5,Medio,0.840897598385523,0.0,2515755.0,18180.600000000002
28,005,39,622.95,Bajo,0.862208382660133,0.0,3606880.5000000005,28544.699999999997
30,010,10,30.0,Medio,0.830003104247374,2657.14,173700.0,1737.0
30,159,8,0.209,Muy alto,0.654257431919757,2828.5699999999997,1210.11,1210.11
30,143,14,5.1524,Medio,0.825498410521794,2828.5699999999997,29832.396,11319.45
30,128,7,68.0,Bajo,0.878673011530108,3000.0,0.0,32697.288
13,029,27,47.85,Bajo,0.877733221125746,3050.0,0.0,5674.2
29,005,51,305.5832,Muy bajo,0.930350884113737,3125.39,0.0,203640.09
29,011,194,1776.8224,Muy bajo,0.88539849801342,3125.67,0.0,109082.442
29,012,423,3130.8127,Bajo,0.871265814394652,3131.01,0.0,7842.555
29,020,193,1737.8701,Muy bajo,0.895953676156671,3135.0,0.0,97285.317
29,021,238,2918.6764,Muy bajo,0.897728881985545,3135.4,0.0,10537.800000000001
29,014,620,4829.3169,Muy bajo,0.885837648475622,3135.44,0.0,3300.2999999999997
29,003,129,1048.7052,Bajo,0.862169690702087,3136.35,6072003.108000001,26026.05
29,045,28,332.2,Muy bajo,0.910536943656879,3144.75,0.0,7567.53
29,006,105,1420.4348,Muy bajo,0.905348504197353,3145.48,0.0,42006.45
13,057,10,48.21,Bajo,0.856904561084033,3150.0,279135.9,6444.2699999999995
29,034,315,2723.4425,Bajo,0.871852150336409,3160.48,0.0,172877.82
21,195,7,0.57,Muy alto,0.751009872098418,3180.0,3300.2999999999997,1316809.857
21,156,6,0.505,Muy bajo,0.895259469004256,3200.0,0.0,66740.17199999999
13,016,33,336.52,Bajo,0.860900916100392,3250.0,1948450.7999999998,89137.05
21,209,269,227.4138,Medio,0.832084340404914,3300.0,1316725.902,19888.65
29,052,16,69.2749,Muy bajo,0.889591210543933,3400.0,0.0,295303.896
29,035,19,73.6,Muy bajo,0.904625735699876,3420.78,0.0,318778.87200000003
29,030,151,1058.7233,Bajo,0.867769669260946,3421.85,0.0,14270.613000000001
29,038,12,78.5,Muy bajo,0.909907963925748,3425.55,0.0,868.5
29,039,83,230.8278,Muy bajo,0.894886734371689,3430.51,0.0,10248.3
13,063,29,7.1,Muy bajo,0.898624147533149,3600.0,0.0,13896.0
29,057,9,7.1875,Muy bajo,0.893297524424485,3611.062222222222,0.0,38476.866
29,049,3,5.5,Muy bajo,0.924703026169435,3611.062222222222,0.0,344069.01300000004
29,024,24,20.6319,Muy bajo,0.907355366473617,3611.062222222222,0.0,74256.75
29,050,10,24.5115,Muy bajo,0.90277028733253,3611.062222222222,0.0,25524.636000000002
29,031,198,707.4766,Muy bajo,0.912271989550002,3670.0,0.0,3010.8
29,008,36,249.6059,Bajo,0.884335947787814,3852.12,0.0,44753.226
29,046,20,73.75,Medio,0.853498428274513,3900.86,427012.5,6623.759999999999
29,004,93,574.1959,Bajo,0.855479700987744,3901.09,3324594.2610000004,166712.628
29,013,121,1717.9983,Muy bajo,0.893777023954082,3901.18,0.0,4342.5
