"","cve_ent","cve_mun","productores","superficie_total","produccion_total","produccion_prom"
"1","04","011",53,62.64,54.3127,1.0247679245283
"2","06","002",32,282.8604,1445.6943,45.177946875
"3","06","004",46,626.1942,3133.7008,68.1239304347826
"4","06","005",227,2373.1885,12811.4654,56.4381735682819
"5","06","010",3,13.115,76.603,25.5343333333333
"6","07","001",112,72.1661,89.0237,0.794854464285714
"7","07","003",13,12.0162,10.7075,0.823653846153846
"8","07","005",14,9.42,6.17,0.440714285714286
"9","07","032",74,51.7613,47.0044,0.635194594594595
"10","07","033",3,1.25,0.25,0.0833333333333333
"11","07","048",9,25.05,8.05,0.894444444444444
"12","07","051",6,3.505,4.137,0.6895
"13","07","062",26,20,4.81,0.185
"14","07","065",15,23.755,30.34,2.02266666666667
"15","07","071",7,5.375,1.59,0.227142857142857
"16","07","074",5,7.5,3.2,0.64
"17","07","076",17,11,7.6886,0.452270588235294
"18","07","077",4,2.2,2.44,0.61
"19","07","084",3,0.6256,0.16,0.0533333333333333
"20","07","096",4,1.25,1.35,0.3375
"21","07","114",3,2,3.3,1.1
"22","07","124",5,3,0.75,0.15
"23","12","005",34,40.2286,321.8288,9.46555294117647
"24","12","011",4,3,2.3,0.575
"25","12","012",80,68.2236,58.4795,0.73099375
"26","12","021",27,22.3156,31.014,1.14866666666667
"27","12","033",19,23.2789,169.2312,8.9069052631579
"28","12","048",6,7.5,11,1.83333333333333
"29","12","056",21,14.699,9.451,0.450047619047619
"30","12","057",6,3.5,2.1,0.35
"31","12","083",20,23.612,9.4994,0.47497
"32","14","024",31,82.324,533.3514,17.2048838709677
"33","14","077",76,200.66,1144.7194,15.0620973684211
"34","14","100",101,1386.5864,7669.5721,75.9363574257426
"35","16","006",4,14.5,114.125,28.53125
"36","16","033",136,1123.43,8670.3501,63.7525742647059
"37","16","064",24,182.77,1529.2105,63.7171041666667
"38","16","089",47,330.82,1966.3854,41.8379872340426
"39","17","004",7,17.8878,186.5698,26.6528285714286
"40","17","006",31,115.8804,1201.6126,38.7616967741935
"41","17","008",73,108.4408,1121.7984,15.367101369863
"42","17","012",6,19.44,202.7592,33.7932
"43","17","014",11,32.7,341.061,31.0055454545455
"44","17","018",41,69.1116,680.6445,16.6010853658537
"45","17","028",39,65.3435,640.7904,16.4305230769231
"46","17","029",5,10.44,108.8892,21.77784
"47","18","008",42,278.5337,1244.2609,29.6252595238095
"48","18","010",118,1490.9313,7110.5442,60.2588491525424
"49","18","012",68,1111.5817,6742.8904,99.1601529411765
"50","18","015",560,7550.9347,45403.0293,81.0768380357143
"51","18","020",35,451.4152,2652.3571,75.7816314285714
"52","27","001",11,13.5,1.94,0.176363636363636
"53","27","002",10,41.6783,51.265,5.1265
"54","27","004",3,2,0.1,0.0333333333333333
"55","27","005",11,5.69,4.122,0.374727272727273
"56","27","006",6,5.63,2.55,0.425
"57","27","008",74,76.78,103.7593,1.4021527027027
"58","27","009",20,26.5,18.31,0.9155
"59","27","012",18,14.5,6.52,0.362222222222222
"60","27","015",23,11.7901,4.955,0.215434782608696
"61","27","016",4,2.25,0.34,0.085
"62","27","017",33,30,3.045,0.0922727272727273
"63","28","021",83,1240.5033,8068.4208,97.2098891566265
"64","30","011",6,11.555,4.9714,0.828566666666667
"65","30","061",24,26.144,4.8682,0.202841666666667
"66","30","070",4,3.392,1.584,0.396
"67","30","082",3,6,5.9588,1.98626666666667
"68","30","108",15,10.3612,10.34,0.689333333333333
"69","30","122",4,0.5338,0.36,0.09
"70","30","176",3,13,12.87,4.29
"71","30","181",22,162.364,1825.4224,82.9737454545455
"72","30","204",7,11.25,2.7,0.385714285714286
"73","30","207",28,193.55,769.0877,27.4674178571429
"74","30","209",4,0.6416,0.175,0.04375
"75","30","210",3,1.3,1.1,0.366666666666667
