,cve_ent,cve_mun,productores,vacas_total,vacas_prom,tipo,produccion_total
1,01,001,737,18355,24.90502035,pequeño,18355
2,01,002,325,3680,11.32307692,pequeño,3680
3,01,003,407,1864,4.57985258,pequeño,1864
4,01,004,42,729,17.35714286,pequeño,729
5,01,005,237,3723,15.70886076,pequeño,3723
6,01,006,178,14153,79.51123596,mediano,14153
7,01,007,148,10880,73.51351351,mediano,10880
8,01,008,300,1325,4.416666667,pequeño,1325
9,01,009,186,4886,26.2688172,pequeño,4886
10,01,010,221,3016,13.64705882,pequeño,3016
11,01,011,85,6629,77.98823529,mediano,6629
12,02,001,104,2381,22.89423077,pequeño,2381
13,02,002,109,3666,33.63302752,pequeño,3666
14,02,006,24,259,10.79166667,pequeño,259
15,02,007,1,25,25,pequeño,25
16,03,001,171,2817,16.47368421,pequeño,2817
17,03,002,76,840,11.05263158,pequeño,840
18,03,003,499,4170,8.356713427,pequeño,4170
19,03,008,294,2492,8.476190476,pequeño,2492
20,03,009,10,69,6.9,pequeño,69
21,04,001,7,20,2.857142857,pequeño,20
22,04,002,206,1640,7.961165049,pequeño,1640
23,04,003,971,4962,5.110195675,pequeño,4962
24,04,004,456,3278,7.188596491,pequeño,3278
25,04,005,160,605,3.78125,pequeño,605
26,04,006,385,1400,3.636363636,pequeño,1400
27,04,007,193,759,3.932642487,pequeño,759
28,04,008,36,69,1.916666667,pequeño,69
29,04,009,482,1734,3.597510373,pequeño,1734
30,04,010,83,459,5.530120482,pequeño,459
31,04,011,888,2853,3.212837838,pequeño,2853
32,04,012,5,18,3.6,pequeño,18
33,04,013,1,2,2,pequeño,2
34,05,001,6,18,3,pequeño,18
35,05,002,29,126,4.344827586,pequeño,126
36,05,003,7,107,15.28571429,pequeño,107
37,05,004,88,444,5.045454545,pequeño,444
38,05,005,17,87,5.117647059,pequeño,87
39,05,006,25,127,5.08,pequeño,127
40,05,007,11,27,2.454545455,pequeño,27
41,05,008,8,21,2.625,pequeño,21
42,05,010,22,244,11.09090909,pequeño,244
43,05,011,228,1015,4.451754386,pequeño,1015
44,05,012,27,155,5.740740741,pequeño,155
45,05,013,11,36,3.272727273,pequeño,36
46,05,014,23,46,2,pequeño,46
47,05,015,4,44,11,pequeño,44
48,05,016,7,15,2.142857143,pequeño,15
49,05,018,31,243,7.838709677,pequeño,243
50,05,019,21,126,6,pequeño,126
51,05,020,27,274,10.14814815,pequeño,274
52,05,021,19,52,2.736842105,pequeño,52
53,05,022,19,150,7.894736842,pequeño,150
54,05,023,7,28,4,pequeño,28
55,05,024,36,154,4.277777778,pequeño,154
56,05,025,14,189,13.5,pequeño,189
57,05,026,10,31,3.1,pequeño,31
58,05,027,36,85,2.361111111,pequeño,85
59,05,028,12,86,7.166666667,pequeño,86
60,05,029,10,57,5.7,pequeño,57
61,05,030,138,863,6.253623188,pequeño,863
62,05,031,19,66,3.473684211,pequeño,66
63,05,032,16,245,15.3125,pequeño,245
64,05,034,11,59,5.363636364,pequeño,59
65,05,037,38,162,4.263157895,pequeño,162
66,05,038,38,174,4.578947368,pequeño,174
67,06,001,86,430,5,pequeño,430
68,06,002,224,1323,5.90625,pequeño,1323
69,06,003,111,834,7.513513514,pequeño,834
70,06,004,210,1138,5.419047619,pequeño,1138
71,06,005,214,1494,6.981308411,pequeño,1494
72,06,006,72,266,3.694444444,pequeño,266
73,06,007,314,1473,4.691082803,pequeño,1473
74,06,008,139,565,4.064748201,pequeño,565
75,06,009,117,518,4.427350427,pequeño,518
76,06,010,76,500,6.578947368,pequeño,500
77,07,001,46,331,7.195652174,pequeño,331
78,07,002,48,423,8.8125,pequeño,423
79,07,003,166,1787,10.76506024,pequeño,1787
80,07,004,5,13,2.6,pequeño,13
81,07,005,149,475,3.187919463,pequeño,475
82,07,006,3,6,2,pequeño,6
83,07,007,1,5,5,pequeño,5
84,07,008,31,168,5.419354839,pequeño,168
85,07,009,877,8904,10.15279361,pequeño,8904
86,07,010,1,1,1,pequeño,1
87,07,012,98,906,9.244897959,pequeño,906
88,07,013,102,416,4.078431373,pequeño,416
89,07,014,37,102,2.756756757,pequeño,102
90,07,015,4,182,45.5,mediano,182
91,07,016,224,1194,5.330357143,pequeño,1194
92,07,017,764,5856,7.664921466,pequeño,5856
93,07,018,32,216,6.75,pequeño,216
94,07,019,28,78,2.785714286,pequeño,78
95,07,020,501,4407,8.796407186,pequeño,4407
96,07,021,268,2296,8.567164179,pequeño,2296
97,07,025,32,105,3.28125,pequeño,105
98,07,027,122,928,7.606557377,pequeño,928
99,07,028,6,41,6.833333333,pequeño,41
100,07,029,4,17,4.25,pequeño,17
101,07,030,36,223,6.194444444,pequeño,223
102,07,031,2,15,7.5,pequeño,15
103,07,032,190,1305,6.868421053,pequeño,1305
104,07,033,55,476,8.654545455,pequeño,476
105,07,034,175,555,3.171428571,pequeño,555
106,07,035,18,134,7.444444444,pequeño,134
107,07,037,24,238,9.916666667,pequeño,238
108,07,038,1,2,2,pequeño,2
109,07,039,134,330,2.462686567,pequeño,330
110,07,040,54,394,7.296296296,pequeño,394
111,07,041,4,35,8.75,pequeño,35
112,07,042,39,287,7.358974359,pequeño,287
113,07,043,31,418,13.48387097,pequeño,418
114,07,044,23,60,2.608695652,pequeño,60
115,07,045,47,199,4.234042553,pequeño,199
116,07,046,580,4258,7.34137931,pequeño,4258
117,07,047,63,245,3.888888889,pequeño,245
118,07,048,484,8549,17.66322314,pequeño,8549
119,07,050,157,1090,6.942675159,pequeño,1090
120,07,051,966,9656,9.995859213,pequeño,9656
121,07,052,22,100,4.545454545,pequeño,100
122,07,054,32,288,9,pequeño,288
123,07,055,2,2,1,pequeño,2
124,07,057,34,62,1.823529412,pequeño,62
125,07,058,1,10,10,pequeño,10
126,07,059,209,1332,6.373205742,pequeño,1332
127,07,060,1,3,3,pequeño,3
