"","cve_ent","cve_mun","productores","superficie_total","produccion_total","produccion_prom"
"1","02","006",13,142.5,121.582,9.35246153846154
"2","05","001",21,257.5286,690.9459,32.9021857142857
"3","05","004",5,76,4.5,0.9
"4","05","007",6,40.7583,130.5142,21.7523666666667
"5","05","008",28,276.375,767.7451,27.4194678571429
"6","05","010",16,52.5,113.55,7.096875
"7","05","011",27,53.33,23.809,0.881814814814815
"8","05","021",22,285.9576,1011.6285,45.9831136363636
"9","05","024",64,100.504,38.5872,0.602925
"10","05","027",7,24,14.5,2.07142857142857
"11","05","030",45,185.57,451.01,10.0224444444444
"12","05","031",43,238.1357,671.6809,15.6204860465116
"13","05","036",7,9.02,24.21,3.45857142857143
"14","08","008",3,7,4.4,1.46666666666667
"15","08","013",7,75,225.5,32.2142857142857
"16","08","017",7,88.8,448.096,64.0137142857143
"17","08","019",3,79,276.8,92.2666666666667
"18","08","027",3,1.5,0.3,0.1
"19","08","028",8,114.2999,567.2255,70.9031875
"20","08","029",14,8.405,4.93,0.352142857142857
"21","08","037",20,165.56,808.4175,40.420875
"22","08","053",4,59,389.3,97.325
"23","08","054",9,241.5,704.2,78.2444444444445
"24","08","065",18,10.7,3.14,0.174444444444444
"25","10","004",54,555.1891,542.8189,10.0522018518519
"26","10","005",42,277.6102,908.0554,21.6203666666667
"27","10","006",6,15.37,36.7,6.11666666666667
"28","10","007",29,97.5535,374.1403,12.9013896551724
"29","10","008",39,640.09,911.5,23.3717948717949
"30","10","010",23,184.1804,32.3981,1.40861304347826
"31","10","011",4,65.8575,58.0148,14.5037
"32","10","013",155,1836.2479,3266.3178,21.0730180645161
"33","10","015",5,5.5,12.9,2.58
"34","10","016",177,1090.8924,2022.5123,11.4266231638418
"35","10","022",906,5133.3513,7982.5407,8.81075132450331
"36","10","024",14,56.3069,90.0228,6.4302
"37","10","027",74,122.426,44.281,0.598391891891892
"38","10","029",23,62.98,131.2787,5.70776956521739
"39","10","031",7,43.32,21.5,3.07142857142857
"40","10","032",4,14,27.6621,6.915525
"41","10","033",80,1381.4437,1823.68,22.796
"42","10","038",292,2775.1801,4131.5283,14.1490695205479
"43","10","039",4,42.32,201,50.25
"44","11","001",704,4594.3838,27654.0528,39.281325
"45","11","002",60,259.2076,1741.904,29.0317333333333
"46","11","003",60,399.4963,439.8388,7.33064666666667
"47","11","004",21,79.385,47.7,2.27142857142857
"48","11","005",20,43.5241,170.439,8.52195
"49","11","007",6,18.1812,118.9309,19.8218166666667
"50","11","008",113,888.3935,4937.0577,43.6907761061947
"51","11","011",214,937.5447,5292.6157,24.7318490654206
"52","11","012",101,1086.3787,6026.3668,59.666998019802
"53","11","014",8,84.0217,335.2635,41.9079375
"54","11","016",463,1625.7024,8518.6699,18.398855075594
"55","11","017",1555,6510.3035,37399.9324,24.0514034726688
"56","11","018",751,4324.3884,28087.691,37.4003874833555
"57","11","019",20,103.74,142.52,7.126
"58","11","020",76,263.425,1112.2216,14.6344947368421
"59","11","022",39,1515.0421,1534.2266,39.3391435897436
"60","11","023",787,4551.9775,23461.4897,29.8112956797967
"61","11","024",300,964.6613,5659.1135,18.8637116666667
"62","11","025",19,236.8399,1212.4946,63.8155052631579
"63","11","026",18,122.4506,472.6676,26.2593111111111
"64","11","027",1333,6346.0083,38677.2066,29.0151587396849
"65","11","028",517,1894.7208,12219.8699,23.6361119922631
"66","11","030",40,450.8257,410.4502,10.261255
"67","11","031",38,170.4873,948.0772,24.9494
"68","11","035",28,276.3628,1714.0147,61.2148107142857
"69","11","036",11,67.2956,405.2996,36.8454181818182
"70","11","037",16,100.0974,749.5911,46.84944375
"71","11","041",5,19.1544,33.8273,6.76546
"72","11","042",1950,9478.6927,59831.1593,30.6826457948718
"73","11","044",223,1276.846,7844.2735,35.1761143497758
"74","11","046",127,446.8896,2835.4969,22.3267472440945
"75","13","005",12,21.255,78.8561,6.57134166666667
"76","13","007",21,115.74,282.281,13.4419523809524
"77","13","008",39,187.23,300.85,7.71410256410257
"78","13","013",25,67.59,2.6,0.104
"79","13","016",33,201.8,336.52,10.1975757575758
"80","13","017",4,10.08,16.6,4.15
"81","13","019",5,7.95,47,9.4
"82","13","021",5,14.56,12.5,2.5
"83","13","029",27,99.73,47.85,1.77222222222222
"84","13","041",5,24.77,81.8213,16.36426
"85","13","044",20,127.2417,59.894,2.9947
"86","13","052",11,46.69,4,0.363636363636364
"87","13","057",10,71.86,48.21,4.821
"88","13","061",8,20.67,8.53,1.06625
"89","13","063",29,70.63,7.1,0.244827586206897
"90","13","064",17,17.557,63.7464,3.74978823529412
"91","13","069",19,54.16,20.3037,1.06861578947368
"92","13","072",5,22.75,17,3.4
"93","13","075",23,106.13,25.625,1.11413043478261
"94","13","082",4,14.39,1,0.25
"95","13","083",4,41.29,98,24.5
"96","14","008",8,84.5338,311.9213,38.9901625
"97","14","010",4,9.9424,20.676,5.169
"98","14","013",13,93.2834,550.7499,42.3653769230769
"99","14","014",48,280.06,1415.99,29.4997916666667
"100","14","016",266,1545.1362,7886.1523,29.6471890977444
"101","14","018",370,2554.7173,14086.114,38.0705783783784
"102","14","033",5,12.9875,54.4162,10.88324
"103","14","036",54,260.7496,870.0419,16.111887037037
"104","14","044",25,301.515,1379.5623,55.182492
"105","14","047",18,75.02,368.68,20.4822222222222
"106","14","051",78,335.359,1735.4805,22.24975
"107","14","053",3,9.1114,14.3611,4.78703333333333
"108","14","058",8,55,246,30.75
"109","14","063",79,569.002,2453.43,31.0560759493671
"110","14","064",23,380.1531,746.3668,32.4507304347826
"111","14","066",24,279.3831,1325.4618,55.227575
"112","14","069",8,13.8423,80.2644,10.03305
"113","14","082",4,35.98,185.3,46.325
"114","14","086",7,35.0155,56.8614,8.12305714285714
